file_path,label,split,artist,title,Balance,Shape,Depth,Tension,Light,Color
data/images/Renaissance/andrea_mantegna_saint_anthony_of_padua_and_st__bernardine_of_siena_presenting_th.jpg,Renaissance,train,Andrea Mantegna,Saint Anthony of Padua and St. Bernardine of Siena presenting the monogram of Christ,0.23479743138613118,0.2275761081602128,0.2986381870231618,0.3299852605386373,0.4714820289987589,-0.24167791742991618
data/images/Renaissance/andrea_mantegna_the_agony_in_the_garden__detail_.jpg,Renaissance,train,Andrea Mantegna,The agony in the garden (detail),0.8702124004114467,-0.2918617728498102,1.066499948309298,-0.41503850571828016,0.7377648289907253,-0.7727292036350539
data/images/Renaissance/andrea_mantegna_saint_james_on_the_way_to_his_execution.jpg,Renaissance,train,Andrea Mantegna,Saint James on the Way to his Execution,0.8069003201183804,-0.23630154833650796,1.0079066517804782,0.42284171887697597,0.9713224814547574,-0.8867334527909297
data/images/Renaissance/andrea_mantegna_the_martyrdom_of_st__jacques.jpg,Renaissance,train,Andrea Mantegna,The Martyrdom of St. Jacques,0.7906597290283814,0.005409770009671577,0.975551161189339,0.4326404192810194,0.8805837728177606,-0.7654686828337478
data/images/Renaissance/andrea_mantegna_san_zeno_altarpiece.jpg,Renaissance,test,Andrea Mantegna,San Zeno Altarpiece,1.0990340190159649,-0.3688154715657732,1.1897977153505996,-0.47568420274036194,0.9673007965246829,-0.9519347277340351
data/images/Renaissance/leonardo_da_vinci_drapery_for_a_seated_figure.jpg,Renaissance,train,Leonardo da Vinci,Drapery for a seated figure,-0.05729518463231931,-0.1515625656859877,0.17962125155435626,0.07840957649531877,0.13240066164034436,-0.5694029598441008
data/images/Renaissance/andrea_mantegna_meeting_of_duke_ludovico_ii_gonzaga_with_cardinal_francesco_gonz.jpg,Renaissance,train,Andrea Mantegna,Meeting of Duke Ludovico II Gonzaga with Cardinal Francesco Gonz (fragment),0.5430520453134478,-0.3757759299037441,0.8807462075251717,-0.3489435956870077,0.5290364594721688,-0.8992469259130138
data/images/Renaissance/andrea_mantegna_the_court_of_the_gonzaga__detail_.jpg,Renaissance,train,Andrea Mantegna,The court of the Gonzaga (detail),1.0745267754195873,-0.3314643323660986,1.14133691869701,-0.31215786074231067,0.8985309646666686,-0.9273082065556817
data/images/Renaissance/andrea_mantegna_the_family_of_ludovico_gonzaga.jpg,Renaissance,train,Andrea Mantegna,The Family of Ludovico Gonzaga,0.9624162026384304,-0.5540441101390231,1.137345889736578,-0.5984035078283927,0.7643081353238803,-1.0875528300337949
data/images/Renaissance/leonardo_da_vinci_study_of_an_old_man.jpg,Renaissance,test,Leonardo da Vinci,Study of an Old Man,-0.22525339876793382,0.018227871665096762,0.09097882631103094,0.37750705369279314,0.1307472007260133,-0.4146423506613319
